,Compound,Negative,Neutral,Positive,Tweets_Ago,User_List
388,0.0258,0.117,0.761,0.122,89,@FoxNews
389,0.0,0.0,1.0,0.0,90,@FoxNews
390,-0.6908,0.305,0.695,0.0,91,@FoxNews
391,0.34,0.0,0.882,0.118,92,@FoxNews
392,0.6249,0.059,0.711,0.23,93,@FoxNews
393,-0.7003,0.326,0.674,0.0,94,@FoxNews
394,0.5106,0.0,0.798,0.202,95,@FoxNews
395,-0.5423,0.28,0.72,0.0,96,@FoxNews
396,0.0,0.0,1.0,0.0,97,@FoxNews
397,-0.3089,0.117,0.883,0.0,98,@FoxNews
398,-0.1531,0.17,0.714,0.116,99,@FoxNews
399,0.0,0.0,1.0,0.0,100,@FoxNews
400,0.4019,0.0,0.881,0.119,1,@nytimes
401,0.4767,0.0,0.846,0.154,2,@nytimes
402,0.0772,0.0,0.936,0.064,3,@nytimes
403,0.5994,0.0,0.738,0.262,4,@nytimes
404,0.0,0.0,1.0,0.0,5,@nytimes
405,0.9001,0.0,0.667,0.333,6,@nytimes
406,-0.1779,0.116,0.884,0.0,7,@nytimes
407,-0.1779,0.116,0.884,0.0,8,@nytimes
408,0.0,0.0,1.0,0.0,9,@nytimes
409,0.0,0.0,1.0,0.0,10,@nytimes
410,-0.5574,0.167,0.833,0.0,11,@nytimes
411,0.6808,0.095,0.579,0.326,12,@nytimes
412,0.5267,0.0,0.833,0.167,13,@nytimes
413,0.6124,0.0,0.762,0.238,14,@nytimes
414,0.25,0.103,0.748,0.15,15,@nytimes
415,0.0,0.0,1.0,0.0,16,@nytimes
416,0.0,0.0,1.0,0.0,17,@nytimes
417,-0.4404,0.38,0.423,0.197,18,@nytimes
418,0.0,0.0,1.0,0.0,19,@nytimes
419,0.2023,0.0,0.913,0.087,20,@nytimes
420,0.4019,0.0,0.881,0.119,21,@nytimes
421,0.4767,0.0,0.846,0.154,22,@nytimes
422,0.0772,0.0,0.936,0.064,23,@nytimes
423,0.5994,0.0,0.738,0.262,24,@nytimes
424,0.0,0.0,1.0,0.0,25,@nytimes
425,0.9001,0.0,0.667,0.333,26,@nytimes
426,-0.1779,0.116,0.884,0.0,27,@nytimes
427,-0.1779,0.116,0.884,0.0,28,@nytimes
428,0.0,0.0,1.0,0.0,29,@nytimes
429,0.0,0.0,1.0,0.0,30,@nytimes
430,-0.5574,0.167,0.833,0.0,31,@nytimes
431,0.6808,0.095,0.579,0.326,32,@nytimes
432,0.5267,0.0,0.833,0.167,33,@nytimes
433,0.6124,0.0,0.762,0.238,34,@nytimes
434,0.25,0.103,0.748,0.15,35,@nytimes
435,0.0,0.0,1.0,0.0,36,@nytimes
436,0.0,0.0,1.0,0.0,37,@nytimes
437,-0.4404,0.38,0.423,0.197,38,@nytimes
438,0.0,0.0,1.0,0.0,39,@nytimes
439,0.2023,0.0,0.913,0.087,40,@nytimes
440,0.0,0.0,1.0,0.0,41,@nytimes
441,0.7003,0.0,0.766,0.234,42,@nytimes
442,0.4588,0.0,0.812,0.188,43,@nytimes
443,0.872,0.0,0.602,0.398,44,@nytimes
444,-0.8126,0.286,0.714,0.0,45,@nytimes
445,-0.5574,0.167,0.833,0.0,46,@nytimes
446,0.0,0.0,1.0,0.0,47,@nytimes
447,0.0,0.0,1.0,0.0,48,@nytimes
448,0.0,0.0,1.0,0.0,49,@nytimes
449,0.0,0.0,1.0,0.0,50,@nytimes
450,0.4939,0.093,0.678,0.229,51,@nytimes
451,0.0,0.0,1.0,0.0,52,@nytimes
452,-0.2263,0.212,0.622,0.166,53,@nytimes
453,-0.8225,0.275,0.725,0.0,54,@nytimes
454,0.0,0.0,1.0,0.0,55,@nytimes
455,0.0,0.0,1.0,0.0,56,@nytimes
456,-0.1027,0.072,0.928,0.0,57,@nytimes
457,0.0,0.0,1.0,0.0,58,@nytimes
458,-0.6124,0.227,0.773,0.0,59,@nytimes
459,0.1531,0.106,0.763,0.131,60,@nytimes
460,0.0,0.0,1.0,0.0,61,@nytimes
461,0.296,0.089,0.772,0.138,62,@nytimes
462,0.4939,0.093,0.678,0.229,63,@nytimes
463,0.0,0.0,1.0,0.0,64,@nytimes
464,0.3818,0.0,0.867,0.133,65,@nytimes
465,0.3182,0.054,0.843,0.103,66,@nytimes
466,0.0,0.0,1.0,0.0,67,@nytimes
467,-0.1779,0.248,0.571,0.181,68,@nytimes
468,0.0,0.0,1.0,0.0,69,@nytimes
469,0.3612,0.0,0.898,0.102,70,@nytimes
470,0.0,0.0,1.0,0.0,71,@nytimes
471,0.3612,0.0,0.762,0.238,72,@nytimes
472,-0.1655,0.128,0.872,0.0,73,@nytimes
473,-0.25,0.121,0.795,0.083,74,@nytimes
474,0.0,0.0,1.0,0.0,75,@nytimes
475,0.0258,0.067,0.861,0.072,76,@nytimes
476,0.0,0.0,1.0,0.0,77,@nytimes
477,0.25,0.09,0.779,0.131,78,@nytimes
478,-0.6249,0.237,0.671,0.092,79,@nytimes
479,-0.8271,0.293,0.64,0.067,80,@nytimes
480,0.0,0.0,1.0,0.0,81,@nytimes
481,0.0772,0.0,0.936,0.064,82,@nytimes
482,0.6705,0.0,0.784,0.216,83,@nytimes
483,0.0,0.0,1.0,0.0,84,@nytimes
484,0.0,0.0,1.0,0.0,85,@nytimes
485,0.0,0.0,1.0,0.0,86,@nytimes
486,0.0,0.0,1.0,0.0,87,@nytimes
487,-0.3597,0.122,0.878,0.0,88,@nytimes
488,-0.2023,0.122,0.878,0.0,89,@nytimes
489,-0.5994,0.187,0.813,0.0,90,@nytimes
490,-0.3818,0.106,0.894,0.0,91,@nytimes
491,-0.6812,0.225,0.725,0.049,92,@nytimes
492,-0.296,0.099,0.901,0.0,93,@nytimes
493,-0.5994,0.329,0.671,0.0,94,@nytimes
494,-0.1027,0.072,0.928,0.0,95,@nytimes
495,0.0,0.0,1.0,0.0,96,@nytimes
496,0.0,0.0,1.0,0.0,97,@nytimes
497,0.431,0.0,0.678,0.322,98,@nytimes
498,0.0,0.0,1.0,0.0,99,@nytimes
499,-0.34,0.231,0.769,0.0,100,@nytimes
